-183.800, 80.200, 0.000,  0.000
-183.800, 80.200, 0.000,  0.016
-183.800, 80.200, 0.000,  0.049
-183.800, 80.200, 0.000,  0.082
-183.800, 80.200, -0.012,  0.115
-183.800, 80.199, 0.026,  0.148
-183.800, 80.198, 0.023,  0.181
-183.800, 80.197, 0.025,  0.214
-183.799, 80.194, 0.118,  0.247
-183.796, 80.186, 0.248,  0.280
-183.791, 80.174, 0.344,  0.313
-183.784, 80.161, 0.408,  0.346
-183.776, 80.144, 0.516,  0.379
-183.766, 80.121, 0.690,  0.412
-183.756, 80.095, 0.816,  0.445
-183.745, 80.061, 1.054,  0.478
-183.734, 80.021, 1.218,  0.511
-183.723, 79.978, 1.319,  0.544
-183.712, 79.931, 1.422,  0.577
-183.701, 79.883, 1.475,  0.610
-183.690, 79.835, 1.488,  0.643
-183.679, 79.786, 1.517,  0.676
-183.668, 79.735, 1.576,  0.709
-183.656, 79.681, 1.682,  0.742
-183.643, 79.622, 1.831,  0.775
-183.630, 79.558, 1.970,  0.808
-183.616, 79.490, 2.075,  0.841
-183.603, 79.421, 2.141,  0.874
-183.589, 79.349, 2.189,  0.907
-183.575, 79.276, 2.240,  0.940
-183.561, 79.202, 2.305,  0.973
-183.546, 79.124, 2.389,  1.006
-183.531, 79.044, 2.474,  1.039
-183.516, 78.961, 2.540,  1.072
-183.500, 78.877, 2.573,  1.105
-183.485, 78.792, 2.585,  1.138
-183.470, 78.708, 2.596,  1.171
-183.454, 78.622, 2.621,  1.204
-183.438, 78.536, 2.661,  1.237
-183.422, 78.448, 2.699,  1.270
-183.406, 78.359, 2.712,  1.303
-183.390, 78.271, 2.698,  1.336
-183.374, 78.183, 2.679,  1.369
-183.359, 78.096, 2.670,  1.402
-183.343, 78.009, 2.676,  1.435
-183.327, 77.921, 2.678,  1.468
-183.311, 77.834, 2.662,  1.501
-183.295, 77.748, 2.622,  1.534
-183.279, 77.664, 2.584,  1.567
-183.264, 77.580, 2.562,  1.600
-183.248, 77.497, 2.555,  1.633
-183.233, 77.414, 2.539,  1.666
-183.217, 77.331, 2.507,  1.699
-183.202, 77.251, 2.462,  1.732
